"ParticipantID";"Model";"Stereotest";"Method";"Question";"Accuracy";"Confidence";"Gender";"Age";"MedExperience";"VR"
5;"Liver";8;"HMD";1;-1;10;"F";42;"Over10";"less2"
5;"Liver";8;"HMD";2;1;10;"F";42;"Over10";"less2"
5;"Liver";8;"HMD";3;1;10;"F";42;"Over10";"less2"
5;"Liver";8;"HMD";4;0;10;"F";42;"Over10";"less2"
6;"Liver";10;"HMD";1;3;8;"M";25;"0";"less2"
6;"Liver";10;"HMD";2;2;3;"M";25;"0";"less2"
6;"Liver";10;"HMD";3;2;4;"M";25;"0";"less2"
6;"Liver";10;"HMD";4;2;4;"M";25;"0";"less2"
7;"Liver";6;"HMD";1;-1;4;"F";24;"0";"0"
7;"Liver";6;"HMD";2;2;4;"F";24;"0";"0"
7;"Liver";6;"HMD";3;2;3;"F";24;"0";"0"
7;"Liver";6;"HMD";4;0;3;"F";24;"0";"0"
10;"Liver";10;"HMD";1;3;7;"F";29;"less2";"0"
10;"Liver";10;"HMD";2;3;7;"F";29;"less2";"0"
10;"Liver";10;"HMD";3;-1;6;"F";29;"less2";"0"
10;"Liver";10;"HMD";4;-1;6;"F";29;"less2";"0"
11;"Liver";9;"HMD";1;1;4;"F";27;"0";"less2"
11;"Liver";9;"HMD";2;1;4;"F";27;"0";"less2"
11;"Liver";9;"HMD";3;0;3;"F";27;"0";"less2"
11;"Liver";9;"HMD";4;-2;2;"F";27;"0";"less2"
12;"Liver";7;"HMD";1;0;10;"M";27;"6to10";"0"
12;"Liver";7;"HMD";2;2;8;"M";27;"6to10";"0"
12;"Liver";7;"HMD";3;0;3;"M";27;"6to10";"0"
12;"Liver";7;"HMD";4;0;8;"M";27;"6to10";"0"
13;"Liver";7;"HMD";1;0;8;"F";24;"0";"less2"
13;"Liver";7;"HMD";2;-2;4;"F";24;"0";"less2"
13;"Liver";7;"HMD";3;0;6;"F";24;"0";"less2"
13;"Liver";7;"HMD";4;-2;7;"F";24;"0";"less2"
14;"Liver";6;"HMD";1;1;10;"M";19;"0";"less2"
14;"Liver";6;"HMD";2;1;6;"M";19;"0";"less2"
14;"Liver";6;"HMD";3;1;7;"M";19;"0";"less2"
