"ID","Gender","Age","Vision","Background","MedExperience","PC","VR","Method","Model","Q1task1","Q2task1","Q3task1","Q4taks1","Q5task1","Q6task1","Q7task1","Q8task1","Q9task1","Q10task1","Q1task2","Q2task2","Q3task2","Q4task2","Q5task2","Q6task2","Q7task2","Q8task2","Q9task2","Q10task2","BF1","BF2","BF3","BF4","BF5","BF6","BF7","BF8","BF9","BF10","BF11","BF12","BF13","BF14","BF15","BF16","BF17","BF18","BF19","BF20","BF21"
5,"F",42,"Corrected","M","Over10","Over10","less2","HMD","L",4,1,4,2,5,1,3,1,4,1,3,2,2,1,4,1,1,3,3,1,4,4,5,4,5,5,2,4,5,5,2,4,4,3,4,3,4,4,1,4,2
38,"M",23,"Normal","NM","2to4","6to10","2to4","DT","L",3,2,5,1,5,1,4,1,4,1,4,2,4,1,5,1,4,2,5,1,2,4,4,1,5,4,3,4,4,3,4,5,4,2,4,4,4,4,2,1,4
73,"M",45,"Normal","NM","0","Over10","less2","HMD","P",5,1,4,1,5,1,4,1,5,1,3,2,2,1,5,2,5,2,3,2,2,2,4,2,4,4,4,4,4,3,2,1,4,2,3,4,1,4,2,4,3
11,"F",27,"Normal","NM","0","Over10","less2","HMD","L",4,1,5,1,4,2,4,2,4,1,3,3,2,3,3,2,3,4,2,1,5,4,4,3,4,2,4,3,4,5,5,5,4,4,5,1,4,4,4,5,2
83,"M",27,"Normal","NM","0","Over10","0","DT","P",3,1,4,1,3,1,4,2,4,1,3,2,4,1,5,1,4,2,4,1,4,2,4,3,5,4,2,4,4,5,4,4,3,4,5,2,3,5,1,4,2
10,"F",29,"Normal","M","less2","Over10","0","HMD","L",5,2,5,3,4,1,3,2,3,2,2,4,2,4,1,4,2,5,2,4,4,4,5,3,4,1,2,2,4,4,4,3,3,2,4,3,1,4,3,5,1
82,"F",40,"Corrected","NM","0","Over10","0","DT","P",2,3,4,3,4,3,4,2,3,2,4,2,4,3,4,2,4,2,3,2,4,4,4,4,4,3,4,2,2,4,4,4,4,4,4,2,4,4,4,4,1
67,"F",50,"Normal","M","Over10","Over10","less2","HMD","P",2,2,4,2,4,2,5,1,4,1,2,1,3,2,3,3,4,2,3,1,3,2,5,2,4,4,3,2,4,4,2,4,4,2,4,4,2,4,4,4,2
75,"M",29,"Corrected","NM","0","Over10","less2","DT","P",4,2,4,1,3,1,4,2,5,1,2,2,2,1,3,3,4,4,2,1,4,3,4,3,2,2,3,5,4,3,4,5,2,3,2,2,5,3,3,2,4
97,"F",25,"Normal","M","less2","Over10","less2","DT","P",4,1,5,1,5,1,5,1,4,1,4,1,5,1,5,1,5,1,4,1,4,4,4,4,5,3,5,3,4,4,4,3,3,4,4,2,3,4,5,4,2
96,"M",33,"Corrected","NM","0","Over10","0","DT","P",4,1,4,1,5,2,4,3,4,1,4,2,3,2,2,2,4,3,4,2,2,2,4,2,5,5,4,2,3,5,2,2,4,2,4,4,2,5,1,3,3
77,"F",20,"Normal","NM","0","6to10","0","DT","P",1,2,4,1,5,1,4,1,3,3,1,2,4,1,4,1,5,1,3,1,1,2,4,5,5,4,5,2,1,5,1,2,3,5,3,4,3,4,5,2,4
15,"F",32,"Corrected","NM","0","Over10","2to4","HMD","L",5,2,5,1,5,1,4,1,5,2,4,2,3,1,4,2,5,2,4,1,1,2,4,1,5,5,4,2,5,5,1,2,5,1,4,5,2,5,1,5,1
68,"F",23,"Corrected","NM","0","Over10","0","HMD","P",3,1,5,1,4,1,4,1,4,1,3,1,4,3,5,1,4,2,4,1,2,4,5,4,4,4,5,5,4,4,1,4,2,4,2,5,2,3,2,5,1
76,"F",38,"Corrected","NM","0","Over10","0","DT","P",5,1,4,1,5,1,5,1,5,2,4,1,4,3,4,1,3,2,3,2,4,2,4,3,5,2,4,2,2,5,4,3,4,4,2,3,2,4,3,4,1
14,"M",19,"Normal","NM","0","4to6","less2","HMD","L",4,2,3,1,4,1,5,1,4,1,5,2,4,1,4,1,4,2,4,1,4,2,4,2,5,4,2,2,3,5,3,2,4,4,3,4,2,4,4,3,3
79,"M",23,"Corrected","NM","0","Over10","less2","DT","P",3,2,4,1,4,2,4,2,4,1,3,2,4,1,4,2,5,1,4,2,1,3,2,3,4,3,4,3,4,4,5,3,3,3,3,1,3,4,2,4,1
78,"M",23,"Corrected","NM","0","Over10","0","DT","P",4,1,5,1,4,1,5,1,5,1,3,1,4,1,4,1,4,1,4,1,4,3,5,1,5,4,4,2,4,4,4,4,4,2,3,3,3,4,3,3,3
13,"F",24,"Corrected","NM","0","4to6","less2","HMD","L",5,2,5,3,4,3,5,1,5,2,5,1,5,3,1,3,5,1,5,2,2,3,4,2,5,5,5,2,4,4,3,4,2,4,3,5,5,4,2,3,3
30,"F",24,"Normal","NM","0","Over10","less2","DT","L",5,1,5,4,5,1,5,1,5,2,5,1,5,4,5,1,4,2,5,4,3,2,3,3,5,4,4,3,2,5,2,2,3,4,5,4,2,2,3,4,2
29,"F",27,"Corrected","NM","0","Over10","2to4","DT","L",4,1,4,1,4,2,5,1,5,1,3,2,3,1,4,2,4,2,3,2,2,1,4,2,5,5,4,2,3,4,1,1,4,2,4,3,2,5,3,4,2
80,"F",24,"Normal","M","less2","Over10","0","DT","P",4,1,4,2,5,1,4,2,4,1,3,2,4,1,2,2,4,2,3,3,2,2,4,2,4,4,4,3,2,5,5,1,4,4,5,4,3,5,3,3,3
74,"F",41,"Normal","NM","0","Over10","0","HMD","P",5,1,3,3,4,4,2,3,3,3,5,2,3,3,3,2,3,3,3,3,3,2,4,2,4,5,4,2,4,4,2,1,4,2,5,4,2,4,3,4,2
